(0, 2)
(1, 242)
(2, 4)
(3, 240)
(4, 2)
(5, 243)
(6, 4)
(7, 241)
(8, 2)
(9, 246)
(10, 10)
(11, 240)
(12, 8)
(13, 50)
(14, 2)
(15, 246)
(16, 10)
(17, 241)
(18, 8)
(19, 52)
(20, 2)
(21, 240)
(22, 16)
(23, 247)
(24, 4)
(25, 240)
(26, 2)
(27, 241)
(28, 16)
(29, 247)
(30, 4)
(31, 241)
(32, 6)
(33, 8)
(50, 6)
(51, 72)
(52, 2)
(53, 242)
(54, 4)
(55, 244)
(56, 2)
(57, 243)
(58, 4)
(59, 242)
(60, 2)
(61, 244)
(62, 4)
(63, 243)
(64, 2)
(65, 246)
(66, 4)
(67, 240)
(68, 4)
(69, 241)
(70, 4)
(71, 244)
(72, 2)
(73, 242)
(74, 4)
(75, 251)
(76, 2)
(77, 243)
(78, 4)
(79, 252)
(80, 20)
(81, 18)
(240, 0)
(241, 0)
(242, 111)
(243, 45)
(244, 0)
(246, 0)
(247, 1)
